Wavelength,Bare_core,Core_shell
400.000000,3.502616,3.235593
410.000000,3.928533,3.254439
420.000000,4.274162,3.176624
430.000000,4.242279,3.083485
440.000000,4.024145,3.242347
450.000000,3.968868,3.284272
460.000000,4.090040,3.277353
470.000000,4.306143,3.310435
480.000000,4.540735,3.309593
490.000000,4.702916,3.263052
500.000000,4.708163,3.213617
510.000000,4.566187,3.281116
520.000000,4.391273,3.383929
530.000000,4.281887,3.435692
540.000000,4.259897,3.433099
550.000000,4.304420,3.364566
560.000000,4.386258,3.347647
570.000000,4.477963,3.321054
580.000000,4.553555,3.141815
590.000000,4.588909,2.867275
600.000000,4.566713,3.442587
610.000000,4.484054,3.881323
620.000000,4.356000,3.969752
630.000000,4.209764,3.962253
640.000000,4.072608,3.957730
650.000000,3.962567,4.021748
660.000000,3.886288,4.066913
670.000000,3.841965,3.950628
680.000000,3.823391,3.865111
690.000000,3.822815,3.846064
700.000000,3.832539,3.843769
710.000000,3.845481,4.134965
720.000000,3.855412,3.968468
730.000000,3.856952,4.462605
740.000000,3.845776,4.731725
750.000000,3.818847,5.024103
